
k,l,u,v
9,139,196.362,2811.4
8,139,173,2811.5
7,139,150,2811.5
5,139,103.5,2811.5
4,139,80,2811.5
2,139,33.5,2811.5
1,139,10.5,2811.5
170,139,3949.33,2811.08
167,139,3879.76,2810.86
164,139,3810,2811.14
161,139,3739.86,2811.05
158,139,3670,2811.14
155,139,3600,2811
152,139,3530,2811.14
149,139,3460.05,2811.14
146,139,3390,2811.14
143,139,3320.16,2811.21
140,139,3250.5,2811.5
137,139,3180.5,2811.5
134,139,3110,2811
131,139,3040.5,2811.5
128,139,2970.57,2811.08
122,139,2830.95,2811.14
119,139,2760.95,2811.14
116,139,2690.95,2811.14
113,139,2621,2811.14
110,139,2551,2811.5
98,139,2271.57,2811.08
92,139,2131.5,2811.5
89,139,2061.5,2811.07
86,139,1992,2811.5
83,139,1921.5,2811.5
80,139,1851.5,2811.5
77,139,1781.92,2811.43
68,139,1571.95,2811.14
59,139,1362,2811.5
56,139,1292.5,2811.5
175,138,4077.36,2791.07
174,138,4054.5,2790.5
172,138,4007.72,2790.94
170,138,3961.42,2791
169,138,3938,2791
167,138,3891.5,2791
166,138,3868,2791
164,138,3821.5,2791
163,138,3798,2791
161,138,3751.5,2791
160,138,3728.3,2790.7
158,138,3681.42,2791
157,138,3658,2791
154,138,3588.44,2790.66
151,138,3518.5,2790.67
148,138,3448,2791
146,138,3402,2791
145,138,3378.7,2790.7
143,138,3332,2791
142,138,3308.5,2790.67
140,138,3262,2791
139,138,3238.72,2790.94
137,138,3192,2791
136,138,3169,2791
134,138,3122,2791
133,138,3099,2791
130,138,3029,2791
127,138,2959,2791
125,138,2912.5,2791
124,138,2889,2791
122,138,2842.42,2791
121,138,2819,2791
118,138,2749,2791
115,138,2679,2791
113,138,2632.58,2791
112,138,2609.5,2791
109,138,2539.5,2790.67
107,138,2493,2791
106,138,2469.5,2790.67
103,138,2399.5,2790.67
100,138,2329.72,2790.94
98,138,2283,2791
97,138,2259.6,2790.92
95,138,2213,2791
94,138,2190,2791
92,138,2143,2791
91,138,2119.6,2790.92
89,138,2073,2791
88,138,2050,2791
86,138,2003.42,2791
85,138,1980,2791
84,138,1956.86,2791.05
82,138,1910,2791
80,138,1863.5,2791
79,138,1840,2791
77,138,1793.5,2791
76,138,1770,2791
74,138,1723.5,2791
73,138,1700,2791
71,138,1653.5,2791
70,138,1630.5,2791
68,138,1584,2791
67,138,1560.5,2791
65,138,1514,2791
64,138,1490.5,2791
62,138,1443.55,2791.18
61,138,1420.5,2791
60,138,1397.05,2791.14
59,138,1374,2791
58,138,1350.5,2791
56,138,1304,2791.14
55,138,1280.56,2791.34
53,138,1234,2791
52,138,1210.56,2791.34
49,138,1141,2791
47,138,1094,2791
46,138,1070.92,2791.4
44,138,1024,2791.14
43,138,1001,2791
41,138,954.184,2791.45
40,138,931,2791
39,138,907.57,2791.08
38,138,884.5,2791.21
37,138,861,2791
35,138,814.5,2791
34,138,791,2791
32,138,744.417,2791
31,138,721,2791
29,138,674.5,2791.21
28,138,651.403,2791.08
26,138,604.5,2791.21
25,138,581.403,2791.08
24,138,557.5,2791.5
23,138,534.553,2791.18
22,138,511.5,2791
20,138,465,2791
19,138,441.081,2791.4
18,138,417.5,2791.5
17,138,394.553,2791.18
16,138,371.403,2791.08
15,138,347.5,2791.5
14,138,324.553,2791.18
13,138,301.5,2791.33
12,138,278,2791.14
11,138,255,2791
10,138,231.5,2791
9,138,208,2791.5
8,138,185,2791
7,138,161.5,2791.33
6,138,138,2791.14
5,138,115,2791
4,138,91.2692,2791.42
3,138,68,2791.5
2,138,45,2791
1,138,21.5625,2791.34
0,138,1,2791.5
173,138,4031.45,2790.82
171,138,3984.5,2790.5
168,138,3914.67,2791.08
165,138,3845.04,2791.06
162,138,3774.76,2790.86
159,138,3705,2790.86
156,138,3634.76,2790.86
155,138,3611.58,2791
153,138,3564.87,2790.97
152,138,3541.58,2791
150,138,3495.14,2791
149,138,3472,2791
147,138,3425.24,2790.86
144,138,3355,2791
141,138,3285.14,2790.95
138,138,3215.24,2791.14
135,138,3145.55,2791.23
132,138,3075.67,2791.08
131,138,3052.5,2790.79
129,138,3005.86,2790.95
128,138,2982.5,2791
126,138,2935.76,2790.86
123,138,2865.76,2790.86
120,138,2795.86,2790.95
119,138,2772.5,2791
117,138,2726,2791
116,138,2702.5,2791
114,138,2656,2791
111,138,2586.05,2790.86
110,138,2563,2791
108,138,2516,2791
105,138,2446.21,2791.14
104,138,2423,2791
102,138,2376,2791
101,138,2353,2791
99,138,2306.14,2791.05
96,138,2236.5,2791
93,138,2166.43,2791.08
90,138,2096.5,2791.07
87,138,2026.5,2791
83,138,1933.5,2791
81,138,1886.5,2791
78,138,1816.95,2791.14
75,138,1746.88,2791.19
72,138,1677,2791.5
69,138,1606.95,2791.14
66,138,1537,2791
63,138,1467.5,2791
57,138,1327,2791.14
54,138,1257.12,2791.19
51,138,1187.24,2791.14
50,138,1164,2791
48,138,1117.43,2791.08
45,138,1047.08,2791.43
42,138,977.081,2791.43
36,138,837.57,2791.08
33,138,768,2791
30,138,697.919,2791.43
27,138,627.955,2791.14
21,138,487.8,2791.2
174,137,4043,2771
172,137,3996.08,2770.6
171,137,3973,2771
168,137,3903,2771
166,137,3856.42,2771
165,137,3833,2771
162,137,3763,2771
159,137,3693,2771
157,137,3646.58,2771
156,137,3623.33,2770.5
153,137,3553.34,2770.56
150,137,3483.5,2770.5
147,137,3413.5,2770.5
144,137,3343.5,2770.67
141,137,3273.5,2770.67
139,137,3227,2771
138,137,3203.5,2770.67
135,137,3133.5,2770.67
132,137,3063.66,2770.56
129,137,2994,2771
127,137,2947.42,2771
126,137,2924,2771
123,137,2854.08,2770.6
120,137,2784,2770.5
117,137,2714.44,2770.66
114,137,2644.34,2770.56
111,137,2574.33,2770.5
108,137,2504.5,2770.5
105,137,2434.5,2770.67
102,137,2364.5,2770.67
99,137,2294.92,2770.6
96,137,2224.66,2770.56
93,137,2154.92,2770.6
90,137,2084.6,2770.92
87,137,2014.6,2770.92
84,137,1945,2771
81,137,1875,2771
78,137,1805.08,2770.6
75,137,1735.08,2770.6
72,137,1665.44,2770.66
69,137,1595.5,2770.67
66,137,1525.5,2770.67
64,137,1479,2771
63,137,1455.5,2770.67
60,137,1385.5,2770.67
57,137,1315.5,2771
54,137,1245.5,2771
51,137,1175.6,2770.92
48,137,1105.5,2771
45,137,1035.6,2770.92
43,137,989,2771
42,137,965.597,2770.92
40,137,919.5,2770.5
39,137,895.597,2770.92
37,137,849.5,2771
36,137,826,2771
34,137,779.417,2771
33,137,756,2771
31,137,709.5,2771
30,137,686.403,2771.08
28,137,639.417,2771
27,137,616,2771
25,137,570,2771
24,137,546,2771
22,137,499.583,2771
21,137,476.5,2771
19,137,429.5,2771
18,137,406,2771
17,137,383,2771
16,137,359.5,2771.5
15,137,336,2771
14,137,313,2771
13,137,289.5,2771.5
12,137,266.5,2771
10,137,220,2771
9,137,196,2771
8,137,173,2771.14
7,137,149.583,2771
6,137,126.5,2771
3,137,56.5,2771.33
2,137,33,2771
1,137,10.1429,2771
175,137,4066,2770.58
173,137,4019.5,2770.5
170,137,3949.33,2770.92
169,137,3926.08,2770.6
167,137,3879.73,2770.91
164,137,3809.95,2770.86
163,137,3786.58,2771
161,137,3740,2771
160,137,3716.5,2770.79
158,137,3670,2770.86
155,137,3600,2770.86
154,137,3576.58,2771
152,137,3530,2770.86
151,137,3507,2771
149,137,3460.05,2770.86
148,137,3437,2771
146,137,3390,2770.86
145,137,3367,2771
143,137,3320.14,2770.95
142,137,3297,2770.58
140,137,3250.5,2771
137,137,3180.45,2770.82
136,137,3157,2771
134,137,3110.65,2770.71
133,137,3087,2770.58
131,137,3040.76,2770.86
130,137,3017.45,2770.82
128,137,2970.86,2770.95
125,137,2900.86,2770.95
124,137,2877.5,2771
122,137,2830.88,2771.19
121,137,2807.5,2771
119,137,2760.92,2770.57
118,137,2737.58,2771
116,137,2690.86,2770.95
115,137,2667.58,2771
113,137,2621,2770.86
112,137,2598,2771
110,137,2551,2770.86
109,137,2528,2771
107,137,2481,2770.86
106,137,2457.83,2770.83
104,137,2411.05,2770.86
103,137,2388,2771
101,137,2341.24,2771.14
100,137,2318,2771
98,137,2271.14,2770.95
97,137,2248,2771
95,137,2201.5,2771
94,137,2178,2771
92,137,2131.5,2771
91,137,2108,2771
89,137,2061.5,2771
88,137,2038,2771
86,137,1991.5,2771
85,137,1968,2771
83,137,1921.5,2771
82,137,1898.5,2771
80,137,1851.86,2770.95
79,137,1828.5,2770.5
77,137,1782,2771
76,137,1758.58,2771
74,137,1712,2770.86
73,137,1688.5,2771
71,137,1641.86,2770.95
70,137,1618.58,2771
68,137,1572,2771
67,137,1549,2771
65,137,1502.05,2770.86
62,137,1432.24,2771.14
61,137,1409,2771
59,137,1362.14,2771.05
58,137,1339,2771
56,137,1292.14,2771.05
55,137,1269,2771
53,137,1222.43,2770.92
52,137,1198.96,2771.06
50,137,1152.5,2771
49,137,1129,2771
47,137,1082.5,2770.79
46,137,1059,2771
44,137,1012.5,2771
41,137,942.5,2771
38,137,872.864,2770.95
35,137,802.756,2770.86
32,137,732.864,2770.95
29,137,662.756,2770.86
26,137,592.756,2770.86
23,137,523,2771.14
20,137,453.037,2770.94
11,137,243,2771.14
5,137,103,2771.14
4,137,80,2771
172,136,4007.5,2750.5
169,136,3937.67,2750.5
163,136,3798,2750.5
160,136,3728,2750
157,136,3658.33,2750.5
154,136,3588.33,2750.5
151,136,3518.5,2750.5
148,136,3448.5,2750.5
142,136,3308.5,2750.5
139,136,3238.5,2750.5
136,136,3168.67,2750.5
133,136,3098.67,2750.5
130,136,3029,2751
127,136,2959,2750.5
124,136,2889,2750.5
121,136,2819,2750.5
118,136,2749.33,2750.5
115,136,2679.33,2750.5
112,136,2609.33,2750.5
100,136,2329.67,2750.5
97,136,2259.5,2750.67
91,136,2119.66,2750.56
88,136,2050,2750.5
82,136,1910,2750.5
79,136,1840,2750.5
73,136,1700.08,2750.6
70,136,1630.44,2750.66
64,136,1490.5,2750.67
61,136,1420.44,2750.66
58,136,1350.66,2750.56
55,136,1280.66,2750.56
52,136,1210.92,2750.6
49,136,1140.92,2750.6
46,136,1071,2750.5
43,136,1000.92,2750.6
40,136,930.597,2750.92
37,136,860.597,2750.92
34,136,791,2751
31,136,721,2751
28,136,651,2751
25,136,581,2751
22,136,511.438,2750.66
19,136,441.438,2750.66
17,136,394.583,2751
16,136,371.438,2750.66
14,136,324.583,2751
13,136,301.438,2750.66
11,136,254.583,2751
10,136,231.5,2750.67
8,136,184.583,2751
7,136,161.5,2750.67
5,136,114.583,2751
4,136,91.5,2750.67
2,136,45,2751
1,136,21.5,2751
175,136,4077.64,2750.4
174,136,4054.5,2750.5
173,136,4031.08,2750.6
171,136,3984.5,2750.5
170,136,3961.17,2750.72
168,136,3914.5,2750.5
167,136,3891.4,2750.92
166,136,3867.77,2750.54
165,136,3844.83,2750.83
164,136,3821.5,2750.5
162,136,3775.21,2750.5
161,136,3751.5,2750.5
159,136,3705,2750.5
158,136,3681.5,2750.5
156,136,3635,2750.86
155,136,3611.6,2750.92
153,136,3565,2750.5
152,136,3542,2750.5
150,136,3495.5,2750.5
149,136,3472,2750.5
147,136,3425.5,2750.5
146,136,3402,2750.58
145,136,3378.5,2750.5
144,136,3355.5,2750.5
143,136,3332,2750.58
141,136,3285.14,2750.76
140,136,3262,2750.5
138,136,3215.5,2750.5
137,136,3192,2750.58
135,136,3145.5,2750.5
134,136,3122,2750.5
132,136,3075.5,2750.5
131,136,3052,2750.58
129,136,3005.5,2750.5
128,136,2982,2751
126,136,2935.5,2750.5
125,136,2912,2751
123,136,2866,2750.86
122,136,2842.38,2750.79
120,136,2795.86,2750.95
119,136,2772.58,2751
117,136,2726.05,2750.86
116,136,2702.45,2750.82
114,136,2656.14,2750.76
113,136,2632.82,2750.55
111,136,2586.05,2750.86
110,136,2562.79,2750.62
109,136,2539.5,2750.5
108,136,2516,2751
107,136,2493,2750.5
106,136,2469.5,2750.5
105,136,2446.05,2750.86
104,136,2423,2750.58
103,136,2399.73,2750.58
102,136,2376,2750.5
101,136,2352.82,2750.55
99,136,2306.5,2750.5
98,136,2283,2750.58
96,136,2236.5,2750.5
95,136,2213.5,2750.5
94,136,2190,2750.5
93,136,2166.5,2750.5
92,136,2143,2750.58
90,136,2096.5,2750.5
89,136,2073.5,2750.5
87,136,2026.5,2750.5
86,136,2003.18,2750.55
85,136,1980.28,2750.61
84,136,1956.45,2750.77
83,136,1933.17,2750.83
81,136,1886.92,2750.57
80,136,1863.45,2750.82
78,136,1816.86,2750.95
77,136,1793.58,2751
76,136,1770,2750.5
75,136,1746.57,2750.92
74,136,1723.83,2750.83
72,136,1677,2750.86
71,136,1654,2751
69,136,1606.5,2751
68,136,1583.83,2750.83
67,136,1560.33,2750.5
66,136,1536.95,2750.86
65,136,1513.86,2750.95
63,136,1467.05,2750.86
62,136,1444,2750.58
60,136,1397.05,2750.86
59,136,1374,2750.86
57,136,1327.05,2750.86
56,136,1304.5,2750.5
54,136,1257.14,2750.76
53,136,1234,2751
51,136,1187.65,2750.71
50,136,1164,2751
48,136,1117.92,2750.57
47,136,1094,2751
45,136,1047.5,2751
44,136,1024,2751
42,136,977.5,2751
41,136,954,2751
39,136,907.756,2750.86
38,136,884.5,2751
36,136,837.647,2750.71
35,136,814.5,2750.5
33,136,767.5,2750.5
32,136,744.5,2751
30,136,698,2750.86
29,136,674.583,2751
27,136,627.864,2750.95
26,136,604.5,2751
24,136,558,2750.86
23,136,534.583,2751
21,136,487.864,2750.95
20,136,464.583,2751
18,136,418,2750.86
15,136,348.037,2750.94
12,136,278.136,2751.05
9,136,208,2751
6,136,138,2751
3,136,67.9444,2750.94
0,136,0.5,2751
69,135,1595.33,2730.5
36,135,826,2730.5
33,135,756,2730.5
24,135,546.438,2730.66
21,135,476.344,2730.56
18,135,406.5,2730.5
15,135,336.5,2730.5
12,135,266.5,2730.67
9,135,196.5,2730.67
6,135,126.5,2730.67
3,135,56.5,2730.67
175,135,4066,2730.58
174,135,4042.67,2730.5
173,135,4019.83,2730.83
172,135,3996,2730.42
171,135,3972.7,2730.3
170,135,3949.5,2730.5
169,135,3926.13,2730.71
168,135,3903,2730
167,135,3879.5,2730.5
166,135,3856.38,2730.79
165,135,3833,2730
164,135,3809.5,2730.5
163,135,3786.5,2730.5
162,135,3763.5,2730.33
161,135,3739.5,2730.5
160,135,3716.5,2730.5
159,135,3693.5,2730.33
158,135,3669.5,2730.5
157,135,3646.5,2730.5
156,135,3623.33,2730.5
155,135,3600.17,2730.17
154,135,3576.79,2730.5
153,135,3553.33,2730.5
152,135,3530.17,2730.17
151,135,3506.77,2730.14
150,135,3483.5,2730.5
149,135,3460,2730.14
148,135,3437,2730.42
147,135,3413.5,2730.33
146,135,3390.05,2730.86
145,135,3367,2730.42
144,135,3343.5,2730.5
143,135,3320.5,2730.5
142,135,3297,2730.42
141,135,3273.5,2730.5
140,135,3250.5,2730.5
139,135,3227,2730
138,135,3203.5,2730.5
136,135,3157.17,2730.17
135,135,3133.5,2730.5
134,135,3110.5,2730.5
133,135,3087.17,2730.17
132,135,3063.67,2730.5
131,135,3040.5,2730.5
130,135,3017,2730.5
129,135,2993.67,2730.5
128,135,2970.5,2730.5
127,135,2947.21,2730.5
126,135,2924,2730
125,135,2900.5,2730.5
124,135,2877.5,2730.5
123,135,2854,2730.5
122,135,2831,2730.5
121,135,2807.38,2730.21
120,135,2784,2730.5
119,135,2760.5,2730.5
118,135,2737.62,2730.21
117,135,2714.23,2730.54
116,135,2691.14,2730.76
115,135,2667.82,2730.55
114,135,2644.44,2730.34
113,135,2621,2730.5
112,135,2597.83,2730.17
111,135,2574.34,2730.44
110,135,2551,2730.5
109,135,2528,2730.5
108,135,2504.42,2730.27
107,135,2481.08,2730.43
106,135,2458,2730.5
105,135,2434.56,2730.34
104,135,2411.5,2730.5
103,135,2388,2730.5
102,135,2364.67,2730.5
100,135,2318,2730.5
99,135,2294.5,2730.5
98,135,2271.5,2730.5
97,135,2248,2730.42
96,135,2224.66,2730.44
95,135,2201.5,2730.5
94,135,2178,2730.42
93,135,2154.66,2730.44
92,135,2131.5,2730.5
91,135,2108.17,2730.17
90,135,2085,2730.5
89,135,2061.5,2730.5
88,135,2038.21,2730.5
87,135,2015,2730.5
86,135,1991.5,2730.5
85,135,1968.18,2730.55
84,135,1945,2730.5
83,135,1921.5,2730.5
82,135,1898.17,2730.17
81,135,1875,2730.5
80,135,1851.5,2730.5
79,135,1828.5,2730.5
78,135,1805,2730.5
77,135,1782,2730.5
76,135,1758.5,2730.5
75,135,1735.5,2730.33
74,135,1712,2730.5
73,135,1688.5,2730.5
72,135,1665.27,2730.42
71,135,1642,2730.5
70,135,1618.82,2730.55
68,135,1572.14,2730.76
67,135,1548.82,2730.55
66,135,1525.36,2730.4
65,135,1502.21,2730.5
64,135,1478.5,2730.5
63,135,1455.5,2730.5
62,135,1432,2730.5
61,135,1409,2730.5
60,135,1385.5,2730.5
59,135,1362.05,2730.86
58,135,1338.5,2730.5
57,135,1315.77,2730.54
56,135,1292,2730.5
55,135,1269,2730.5
54,135,1245.6,2730.36
53,135,1222.5,2730.5
52,135,1199,2730.5
51,135,1175.77,2730.54
50,135,1152.5,2730.5
49,135,1129,2730.5
48,135,1105.73,2730.58
47,135,1082.5,2730.5
46,135,1059.17,2730.83
45,135,1036,2730.42
44,135,1012.92,2730.57
43,135,989.167,2730.83
42,135,965.769,2730.54
41,135,942.5,2730.5
40,135,919.5,2730.5
39,135,896.278,2730.61
38,135,872.919,2730.57
37,135,849.184,2730.55
35,135,802.756,2730.86
34,135,779.184,2730.55
32,135,732.864,2730.95
31,135,709.5,2730.5
30,135,686,2730.5
29,135,662.864,2730.95
28,135,639.794,2730.62
27,135,616.333,2730.5
26,135,593,2730.86
25,135,570,2730.5
23,135,522.57,2730.92
22,135,499.597,2730.92
20,135,453,2730.86
19,135,429.794,2730.62
17,135,382.857,2731
16,135,360,2730.5
14,135,313,2730.86
13,135,289.583,2731
11,135,243,2731
10,135,219.597,2730.92
8,135,173,2731
7,135,150,2730.5
5,135,103,2730.86
4,135,79.5968,2730.92
2,135,33.1364,2730.95
1,135,10.1429,2731
137,135,3180.5,2730.5
101,135,2341.26,2730.28
13,134,301.333,2710.5
10,134,231.5,2710.5
7,134,161.333,2710.5
4,134,91.5,2710.5
175,134,4077.25,2710.12
174,134,4054.5,2710.5
173,134,4031,2710.42
172,134,4008,2710
171,134,3984.5,2710.5
170,134,3961.42,2710
169,134,3938,2710
167,134,3891.42,2710
166,134,3868,2710
165,134,3844.86,2710
164,134,3821.42,2710
163,134,3798,2710
161,134,3751.42,2710
160,134,3728,2710
159,134,3704.5,2710.5
158,134,3681.58,2710
157,134,3658.28,2710.06
155,134,3611.92,2710.4
154,134,3588.5,2710.33
152,134,3541.55,2710.18
151,134,3518.28,2710.06
150,134,3495,2710.14
149,134,3471.83,2710.17
148,134,3448.5,2710.33
146,134,3401.92,2710.4
145,134,3378.5,2710.33
144,134,3355.14,2710.05
143,134,3332,2710.42
142,134,3308.5,2710.33
141,134,3285.14,2710.05
140,134,3262,2710
